GENRE_ID,GENRE_NAME,GENRE_REP_ID,DB_GENRE_IMG_ID
276,suspense/thriller,1,9100
277,swimming,5,9101
278,"table tennis",5,9102
279,tabloid,8,9103
280,"talent contest",4,9104
281,taxes,11,9105
282,techno,7,9106
283,technology,10,9107
284,teens,1,9108
285,telecourse,9,9109
286,tennis,5,9110
287,thanksgiving,11,9111
288,theatre,4,9112
289,"track ",,9116
290,trains,,9119
291,triathlon,5,9120
292,tribute,,9121
293,"truck competition",,9122
294,"valentines day",11,9125
296,variety,4,9126
297,"veterans day",11,9127
298,"video games",6,9128
299,vocalists,7,9129
300,volleyball,5,9130
301,war,,9131
302,"water polo",5,9132
303,"water skiing",5,9133
304,"water sports",5,9134
305,weather,8,9135
306,weightlifting,5,9137
307,western,1,9138
308,"winter olympics",5,9139
309,"winter sports",5,9140
310,women,,9141
311,wrestling,5,9142
312,yachting,5,9143
313,"yom kippur",11,9144
314,"part info in copy",,9020
315,"tvg classic",6,9123
316,Thriller,1,8813
317,Mystery/suspense,1,8798
319,"2008 presidential election",,8767
320,"2010 election",,8768
321,3D,,8769
322,"Australian football",5,8773
323,Bollywood,2,8776
324,"Gaelic football",5,8788
325,"action sports",5,8815
326,"adventure race",5,8817
327,architecture,11,8829
328,behind-the-scenes,,8840
329,"best of",,8841
330,"big band & swing",7,8847
331,"celebrity sports",5,8862
332,"classic sports",,8869
333,construction,10,8879
334,"contemporary christian",7,8880
335,countdown,11,8883
336,darts,6,8893
337,dating,,8894
338,decorating,6,8897
339,"disco & dance",7,8900
340,emo,7,8909
341,engineering,10,8910
342,"episode title in copy",,8912
343,"ethnic/world music",7,8917
344,fireworks,11,8927
345,"generic source record",,8937
346,goth,7,8940
347,green,10,8942
348,"hip-hop & rap",7,8954
349,hurling,5,8961
350,"ice skating (competition)",5,8963
351,imax,2,8964
352,internet,11,8968
353,"jet skiing",5,8972
354,jewelry,12,8973
355,landscaping,6,8979
356,legal,,8981
357,literature,11,8982
358,"lumberjack competition",,8986
359,makeover,4,8988
360,"martial arts",5,8993
361,military,10,8996
362,mockumentary,2,8999
363,"new wave & punk",7,9010
364,photography,6,9024
365,poker,6,9028
366,preview,,9038
367,"reality competition",,9049
368,"red carpet",4,9050
369,"roller sports",5,9059
370,"school info",9,9065
371,"skills competition",,9080
372,space,,9089
373,timely,,9114
374,"to be announced",,9115
375,"track & field",5,9118
376,tvgtalk,,9124
377,wedding,,9136
379,thriller,1,9113
380,"2008 presidential",,8766
381,"adventure racing",5,8818
382,"big band ",7,8845
383,"disco ",7,8899
384,ethnic/world,7,8916
385,"hip-hop ",7,8953
386,"martia arts",5,8991
387,"new wave ",,9008
388,roller,5,9057
389,"track ",,9117
390,Music/musical,7,8797
